08 August 2017 18:51:01
Time (ms),HR (bpm),R-R (ms)
456368,121,506
456877,120,509
457382,120,505
457890,120,508
458401,120,511
458916,120,515
459423,120,507
459929,120,506
460435,120,506
460938,120,503
461439,120,501
461937,120,498
462433,120,496
462924,120,491
463416,120,492
463909,120,493
464417,121,508
464903,121,486
465366,122,463
465839,122,473
466317,123,478
466789,123,472
467258,124,469
467753,124,495
468222,125,469
468667,125,445
469152,127,485
469624,127,472
470090,127,466
470530,128,440
471013,128,483
471473,129,460
471932,129,459
472366,130,434
472847,130,481
473306,131,459
473744,131,438
474204,131,460
474692,132,488
475157,132,465
475626,132,469
476079,132,453
476553,132,474
477032,132,479
477509,132,477
477986,132,477
478480,131,494
478930,131,450
479417,130,487
479862,130,445
480343,130,481
480803,130,460
481259,130,456
481719,129,460
482178,129,459
482635,130,457
483067,130,432
483536,131,469
483988,131,452
484440,131,452
484887,132,447
485313,132,426
485777,133,464
486223,133,446
486643,135,420
487089,135,446
487556,136,467
488000,136,444
488447,136,447
488876,137,429
489344,137,468
489796,137,452
490244,137,448
490678,137,434
491154,137,476
491612,137,458
492071,136,459
492512,136,441
492974,136,462
493439,136,465
493924,135,485
494372,135,448
494841,134,469
495335,134,494
495807,133,472
496259,133,452
496736,133,477
497207,132,471
497686,132,479
498163,131,477
498665,131,502
499140,130,475
499593,130,453
500066,129,473
500536,129,470
501030,129,494
501486,129,456
501979,128,493
502440,128,461
502937,128,497
503418,128,481
503880,128,462
504364,128,484
504848,128,484
505352,128,504
505818,128,466
506300,128,482
506807,128,507
507273,127,466
507765,127,492
508261,127,496
508755,127,494
509250,126,495
509747,126,497
510263,126,516
510756,126,493
511227,125,471
511745,125,518
512214,124,469
512704,124,490
513194,124,490
513701,124,507
514184,124,483
514646,124,462
515126,124,480
515623,124,497
516072,124,449
516561,125,489
517031,125,470
517500,126,469
517966,126,466
518410,127,444
518883,127,473
519347,129,464
519814,129,467
520289,129,475
520763,130,474
521238,130,475
521715,130,477
522217,130,502
522699,130,482
523181,130,482
523669,129,488
524157,129,488
524642,128,485
525106,128,464
525604,128,498
526084,128,480
526559,127,475
527013,127,454
527499,127,486
527965,127,466
528430,127,465
528865,127,435
529324,127,459
529780,128,456
530258,128,478
530713,130,455
531170,130,457
531623,132,453
532054,132,431
532511,132,457
532965,133,454
533439,133,474
533869,133,430
534326,133,457
534800,134,474
535256,134,456
535712,134,456
536171,134,459
536631,134,460
537092,134,461
537550,134,458
537986,134,436
538461,134,475
538915,134,454
539345,134,430
539822,134,477
540259,134,437
540733,134,474
541173,134,440
541645,134,472
542080,134,435
542555,134,475
542994,134,439
543446,134,452
543920,134,474
544357,134,437
544828,134,471
545255,134,427
545704,134,449
546171,134,467
546618,134,447
547042,135,424
547490,135,448
547923,135,433
548398,135,475
548818,135,420
549283,136,465
549725,136,442
550168,136,443
550586,136,418
551050,137,464
551491,137,441
551929,137,438
552346,137,417
552801,137,455
553218,138,417
553675,138,457
554086,138,411
554527,139,441
554962,139,435
555419,139,457
555831,139,412
556284,140,453
556719,140,435
557157,140,438
557572,140,415
558002,140,430
558458,140,456
558893,140,435
559308,140,415
559742,140,434
560193,140,451
560627,140,434
561038,140,411
561492,140,454
561925,140,433
562340,141,415
562787,141,447
563222,141,435
563657,141,435
564064,141,407
564510,141,446
564927,141,417
565372,141,445
565768,141,396
566218,141,450
566644,142,426
567062,142,418
567457,143,395
567896,143,439
568318,143,422
568734,143,416
569142,143,408
569556,145,414
569969,145,413
570375,145,406
570781,146,406
571166,146,385
571587,147,421
571991,147,404
572370,147,379
572786,149,416
573187,149,401
573585,150,398
573974,150,389
574347,150,373
574756,152,409
575150,152,394
575543,152,393
575930,153,387
576314,153,384
576693,155,379
577079,155,386
577466,155,387
577856,156,390
578240,156,384
578621,156,381
578978,157,357
579358,157,380
579738,159,380
580136,159,398
580520,159,384
580903,160,383
581282,160,379
581661,160,379
582015,160,354
582392,160,377
582786,161,394
583168,161,382
583545,161,377
583926,161,381
584302,161,376
584678,161,376
585032,161,354
585410,161,378
585806,161,396
586183,162,377
586558,162,375
586932,162,374
587304,162,372
587679,162,375
588036,162,357
588430,162,394
588808,162,378
589184,163,376
589557,163,373
589929,163,372
590297,163,368
590671,163,374
591046,163,375
591424,163,378
591797,163,373
592166,164,369
592516,164,350
592904,164,388
593274,164,370
593648,164,374
594018,164,370
594390,164,372
594753,164,363
595101,165,348
595488,165,387
595860,165,372
596229,165,369
596594,165,365
596940,165,346
597322,166,382
597692,166,370
598054,166,362
598421,166,367
598782,166,361
599147,166,365
599515,167,368
599880,167,365
600239,167,359
600598,167,359
600965,167,367
601325,168,360
601667,168,342
602045,168,378
602408,168,363
602768,168,360
603121,168,353
603479,169,358
603840,169,361
604181,169,341
604557,170,376
604911,170,354
605245,170,334
605624,171,379
605982,171,358
606333,171,351
606689,171,356
607050,171,361
607381,172,331
607756,172,375
608102,172,346
608459,172,357
608810,172,351
609167,172,357
609517,173,350
609865,173,348
610222,173,357
610573,173,351
610927,173,354
611277,173,350
611622,174,345
611971,174,349
612324,174,353
612674,174,350
613027,174,353
613373,174,346
613728,174,355
614077,174,349
614423,174,346
614751,175,328
615119,175,368
615468,175,349
615814,175,346
616163,175,349
616514,175,351
616864,176,350
617205,176,341
617558,176,353
617907,176,349
618251,176,344
618593,176,342
618944,176,351
619292,176,348
619630,176,338
