04 August 2017 12:53:19
Time (ms),HR (bpm),R-R (ms)
646680,69,903
647590,69,910
648425,69,835
649272,69,847
650141,69,869
650981,69,840
651796,70,815
652624,70,828
653483,70,859
654362,70,879
655231,70,869
656135,70,904
657032,71,897
657905,71,873
658745,71,840
659572,71,827
660396,71,824
661188,71,792
662004,71,816
662896,71,892
663851,71,955
664760,71,909
665683,71,923
666607,71,924
667503,70,896
668357,70,854
669230,70,873
670103,70,873
670982,69,879
671825,69,843
672675,69,850
673517,69,842
674348,69,831
675159,69,811
675953,69,794
676725,69,772
677470,71,745
678199,71,729
678934,72,735
679642,74,708
680355,74,713
681131,75,776
681923,76,792
682726,77,803
683561,79,835
684446,79,885
685312,79,866
686157,79,845
687022,79,865
687893,78,871
688751,77,858
689647,77,896
690625,76,978
691590,74,965
692521,73,931
693482,72,961
694467,71,985
695398,70,931
696281,69,883
697129,68,848
697918,67,789
698696,67,778
699488,66,792
700361,66,873
701200,66,839
702010,67,810
702844,67,834
703702,68,858
704545,69,843
705362,70,817
706218,70,856
707116,72,898
708000,72,884
708832,72,832
709644,73,812
710472,73,828
711299,72,827
712132,72,833
713003,72,871
713878,72,875
714739,72,861
715616,72,877
716505,72,889
717382,71,877
718319,71,937
719302,71,983
720206,71,904
721066,70,860
721922,70,856
722757,70,835
723538,69,781
724320,69,782
725119,69,799
725968,69,849
726806,69,838
727690,69,884
728627,70,937
729558,70,931
730432,71,874
731317,71,885
732203,71,886
733024,71,821
733809,71,785
734564,71,755
735280,71,716
735991,71,711
736761,71,770
737561,71,800
738451,72,890
739450,72,999
740424,72,974
741320,72,896
742254,72,934
743192,72,938
744060,72,868
744878,72,818
745704,72,826
746564,71,860
747424,71,860
748355,71,931
749350,70,995
750328,70,978
751270,69,942
752197,68,927
753097,68,900
753929,68,832
754755,67,826
755587,67,832
756378,67,791
757125,67,747
757885,68,760
758739,68,854
759677,69,938
760578,69,901
761532,70,954
762476,70,944
763364,70,888
764223,70,859
765068,70,845
765904,70,836
766702,70,798
767549,71,847
768410,71,861
769262,71,852
770034,70,772
770754,70,720
771437,70,683
772174,70,737
772882,70,708
773704,70,822
774540,70,836
775383,70,843
776257,70,874
777142,70,885
778001,70,859
778812,71,811
779606,71,794
780392,71,786
781183,72,791
781927,73,744
782667,73,740
783372,73,705
784103,74,731
784978,75,875
785960,75,982
786910,75,950
787879,75,969
788843,75,964
789784,75,941
790666,75,882
791542,74,876
792403,74,861
793264,72,861
794091,72,827
794915,72,824
795761,71,846
796658,71,897
797546,70,888
798466,69,920
799428,68,962
800393,68,965
801310,69,917
802209,69,899
803096,69,887
803961,69,865
804814,69,853
805659,68,845
806519,68,860
807367,68,848
808197,68,830
809031,68,834
809897,68,866
810751,69,854
811599,70,848
812464,70,865
813313,70,849
814134,71,821
814971,71,837
815824,71,853
816664,72,840
817480,72,816
818295,72,815
819134,72,839
819966,72,832
820790,72,824
821636,72,846
822499,72,863
823367,72,868
824241,72,874
825116,72,875
825920,72,804
826710,72,790
827491,72,781
828287,72,796
829071,72,784
829858,72,787
830663,72,805
831486,73,823
832270,73,784
833070,74,800
833882,74,812
834697,75,815
835492,75,795
836302,75,810
837116,76,814
837900,76,784
838685,76,785
839471,76,786
840279,76,808
841057,76,778
841851,76,794
842675,76,824
843552,76,877
844399,76,847
845254,76,855
846121,76,867
846942,75,821
847728,75,786
848506,74,778
849276,74,770
850043,74,767
850795,74,752
851564,74,769
852360,74,796
853163,74,803
853966,75,803
854796,75,830
855676,76,880
856546,76,870
857417,76,871
858277,76,860
859076,76,799
859834,75,758
860583,75,749
861350,75,767
862141,75,791
862916,74,775
863720,74,804
864541,74,821
865364,75,823
866150,75,786
866976,76,826
867814,76,838
868627,76,813
869412,76,785
870209,76,797
871008,76,799
871789,76,781
872561,76,772
873345,76,784
874151,75,806
874933,75,782
875702,76,769
876478,76,776
877268,76,790
878057,76,789
878841,77,784
879647,77,806
880461,77,814
881238,77,777
882017,77,779
882814,77,797
883634,77,820
884407,77,773
885134,77,727
885866,77,732
886594,77,728
887341,77,747
888136,77,795
888965,78,829
889768,78,803
890608,78,840
891490,79,882
892361,79,871
893156,78,795
893954,78,798
894752,77,798
895507,76,755
896261,76,754
897016,76,755
897795,75,779
898527,75,732
899295,75,768
900102,75,807
900885,76,783
901678,77,793
902492,77,814
903314,77,822
904072,78,758
904805,78,733
905542,78,737
906296,78,754
907077,78,781
907857,78,780
908642,78,785
909461,78,819
910304,78,843
911136,78,832
911971,78,835
912814,78,843
913671,78,857
914505,77,834
915353,77,848
916199,76,846
916990,75,791
917739,75,749
918448,74,709
919129,74,681
919828,74,699
920578,74,750
921384,74,806
922203,75,819
923044,75,841
923913,75,869
924806,75,893
925665,75,859
926474,75,809
927278,75,804
928102,75,824
928948,75,846
929793,75,845
930635,75,842
931509,75,874
932440,74,931
933362,72,922
934238,72,876
935121,72,883
936013,71,892
936887,71,874
937749,71,862
938628,70,879
939540,70,912
940420,70,880
941297,69,877
942194,69,897
943095,69,901
943964,69,869
944835,69,871
945717,69,882
946613,69,896
947474,69,861
948342,69,868
949239,69,897
950133,69,894
950985,69,852
951833,69,848
952687,69,854
953531,69,844
954334,69,803
955162,69,828
956057,70,895
956921,70,864
957675,70,754
958414,71,739
959139,71,725
959892,71,753
960703,72,811
961508,72,805
962320,73,812
963110,75,790
963847,75,737
964575,75,728
965267,77,692
966052,77,785
966935,77,883
967849,78,914
968772,78,923
969707,78,935
970685,78,978
971669,78,984
972585,77,916
973463,76,878
974328,74,865
975133,74,805
975907,73,774
976662,71,755
977407,71,745
978173,71,766
978954,71,781
979738,71,784
980508,71,770
981259,71,751
981997,71,738
982733,74,736
983432,74,699
984111,75,679
984775,79,664
985433,79,658
986125,80,692
986761,82,636
987430,82,669
988105,84,675
988789,86,684
989477,86,688
990164,87,687
990843,89,679
991510,89,667
992157,89,647
992790,90,633
993418,90,628
994053,91,635
994700,91,647
995362,91,662
996038,92,676
996747,92,709
997458,92,711
998197,92,739
998967,92,770
999846,92,879
1000784,92,938
1001705,92,921
1002576,92,871
1003512,92,936
1004372,92,860
1005209,90,837
1006062,90,853
1006951,87,889
1007865,85,914
1008760,82,895
1009566,80,806
1010349,75,783
1011106,75,757
1011851,73,745
1012592,73,741
1013311,73,719
1014023,73,712
1014763,72,740
1015580,72,817
1016437,74,857
1017262,74,825
1018096,75,834
1018854,76,758
1019572,77,718
1020257,77,685
1020946,78,689
1021630,78,684
1022381,78,751
1023335,78,954
1024342,78,1007
1025350,78,1008
1026353,78,1003
1027323,78,970
1028242,78,919
1029122,78,880
1030023,77,901
1030927,76,904
1031915,74,988
1032922,72,1007
1033913,71,991
1034924,69,1011
1035924,68,1000
1036931,67,1007
1037827,63,896
1038695,63,868
1039552,63,857
1040403,63,851
1041248,63,845
1042069,64,821
1042860,64,791
1043639,64,779
1044368,65,729
1045085,67,717
1045828,67,743
1046642,69,814
1047462,70,820
1048301,72,839
1049228,73,927
1050244,75,1016
1051220,75,976
1052208,75,988
1053170,75,962
1054074,75,904
1054985,75,911
1055882,74,897
1056772,73,890
1057663,72,891
1058557,71,894
1059409,69,852
1060305,69,896
1061209,68,904
1062112,67,903
